matched_skills,similarity_score
Data science 3,0.2739807208702157
Data science 4,0.2730003471983962
Software design 6,0.2729943884957335
Data engineering 3,0.25635398050989505
Database design 5,0.2563511008247939
Continuity management 4,0.2548979776240433
System software administration 2,0.24840389676142097
Systems and software lifecycle engineering 6,0.24703277531627532
Data engineering 4,0.2442033732200422
Data management 6,0.23852005322319497
Systems design 6,0.23849516474179058
Programming/software development 4,0.23823055775621702
Data modelling and design 5,0.23467016961692516
Data science 5,0.23123592026817646
Software design 2,0.23059231450111006
Software design 3,0.2299434644121771
Data science 2,0.22463244734223187
Database design 4,0.21972284349021332
Data management 4,0.21496298408044906
Infrastructure operations 3,0.21281991768079622
Business intelligence 4,0.21139971435832078
Software design 5,0.21131066560300107
Data engineering 6,0.210566459042061
Systems design 2,0.2100762299658039
Data management 5,0.20848734720624196
Systems integration and build 3,0.2075876104756153
Systems and software lifecycle engineering 3,0.20578961360374512
Systems development management 7,0.20333668975864333
Data analytics 7,0.2031459309388636
Data management 2,0.20225225555767376
Radio frequency engineering 5,0.20038608449411158
