matched_skills,similarity_score
Strategic planning 7,0.26056524575781354
Continuity management 4,0.2410822130547299
Data management 2,0.23372764070886692
Data analytics 7,0.2174820406265103
Data science 3,0.2111813165856845
Quality management 2,0.2059214850719515
Information management 6,0.2055169113283657
