matched_skills,similarity_score
Organisational change management 3,0.20526602130242397
Sourcing 5,0.2050397489987419
Service level management 5,0.20437392500521903
Resourcing 2,0.20427045336872335
Data analytics 5,0.20407298584671152
Release management 3,0.20407215135760012
Organisational change management 2,0.20403482542599752
Audit 2,0.20291477165115415
Workforce planning 4,0.2026293329065242
Competency assessment 3,0.202550871042126
User research 4,0.20229228129024557
Vulnerability research 4,0.20164687545890042
Penetration testing 5,0.20151720665026632
Database design 2,0.20136005186370712
Information assurance 4,0.20061885361761678
